"Index" "date" "AAPL.Open" "AAPL.High" "AAPL.Low" "AAPL.Close" "AAPL.Volume" "AAPL.Adjusted" "macd" "signal"
1 2007-01-03 86.289999 86.579999 81.899999 83.800002 309579900 11.086612 NA NA
2 2007-01-04 84.050001 85.949998 83.820003 85.659998 211815100 11.332687 NA NA
3 2007-01-05 85.77 86.199997 84.400002 85.049997 208685400 11.251984 NA NA
4 2007-01-08 85.959998 86.529998 85.280003 85.47 199276700 11.30755 NA NA
5 2007-01-09 86.450003 92.979999 85.15 92.570003 837324600 12.24687 NA NA
6 2007-01-10 94.749999 97.800002 93.450003 96.999997 738220000 12.832951 NA NA
7 2007-01-11 95.94 96.779999 95.1 95.800003 360063200 12.674194 NA NA
8 2007-01-12 94.590002 95.059999 93.229998 94.620003 328172600 12.518082 NA NA
9 2007-01-16 95.68 97.250003 95.450002 97.099999 311019100 12.846181 NA NA
10 2007-01-17 97.560003 97.599998 94.820001 94.949997 411565000 12.561739 NA NA
11 2007-01-18 92.099998 92.109999 89.050002 89.070003 591151400 11.783825 NA NA
12 2007-01-19 88.629999 89.650002 88.120001 88.500003 341118400 11.708415 NA NA
13 2007-01-22 89.139997 89.159998 85.649998 86.789997 363506500 11.482184 NA NA
14 2007-01-23 85.73 87.51 85.510001 85.699999 301856100 11.337979 NA NA
15 2007-01-24 86.680001 87.149999 86.080001 86.700002 231953400 11.470278 NA NA
16 2007-01-25 87.109998 88.500003 86.03 86.249998 226493400 11.410743 NA NA
17 2007-01-26 87.109998 87.369997 84.990003 85.379998 246718500 11.295643 NA NA
18 2007-01-29 86.299999 86.650001 85.530002 85.939998 225416100 11.36973 NA NA
19 2007-01-30 86.430002 86.489997 85.250002 85.550002 144492600 11.318134 NA NA
20 2007-01-31 84.86 85.999999 84.350001 85.73 214017300 11.341948 NA NA
21 2007-02-01 86.229998 86.269999 84.739997 84.739997 166085500 11.210972 NA NA
22 2007-02-02 84.120003 85.250002 83.7 84.749997 155382500 11.212295 NA NA
23 2007-02-05 84.3 85.230001 83.939999 83.939999 144713100 11.105133 NA NA
24 2007-02-06 84.449997 84.469997 82.860001 84.149997 216098400 11.132916 NA NA
25 2007-02-07 84.479998 86.380001 83.550003 86.150002 266706300 11.397513 NA NA
26 2007-02-08 85.429999 86.509997 85.409999 86.180003 169757700 11.401483 -2.58531285464426 NA
27 2007-02-09 85.880003 86.199997 83.210002 83.270003 215135200 11.016494 -2.39145407217594 NA
28 2007-02-12 84.430003 85.18 83.629998 84.88 181017900 11.229494 -2.34702205027543 NA
29 2007-02-13 85.16 85.290003 84.3 84.700003 145246500 11.205681 -2.21819664198277 NA
30 2007-02-14 84.630001 85.639997 84.57 85.300003 126995400 11.28506 -2.14158532750638 NA
31 2007-02-15 85.44 85.619997 84.779998 85.210001 90915300 11.273153 -1.98198370551388 NA
32 2007-02-16 85.250002 85.409999 84.660002 84.829999 99967000 11.222879 -1.85210501036309 NA
33 2007-02-20 84.650002 86.160003 84.159997 85.899997 154425600 11.364438 -1.78533554171985 NA
34 2007-02-21 85.979999 89.489999 85.959998 89.199999 288828400 11.801023 -1.58870730596276 -2.09907805668271
35 2007-02-22 90.800002 90.810002 88.529997 89.509999 209556200 11.842036 -0.968998381613972 -1.87306212166896
36 2007-02-23 89.159998 90.339998 88.849998 89.070003 129473400 11.783825 -0.625872687802242 -1.62362423489562
